Year,Personnel,Operation_Maintenance,Procurement,R_D,Construction,Housing,AEC,Defense-related
1983,165663.7149,176533.6446,145904.6586,55919.59839,9588.393574,5784.598394,14069.68876,1020.331325
1984,167341.8479,175612.6949,161397.5842,60285.11068,9663.666987,6293.772859,15962.6564,1116.342637
1985,170866.0037,182184.5353,177260.697,68251.19888,10729.18216,6654.107807,17876.93309,1347.444238
1986,176820.0821,186077.6004,189198.0566,79813.95073,12528.80474,6970.337591,18408.7135,1204.169708
1987,171808.2746,181701.206,192617.544,80135.84507,13962.70246,6937.21831,17774.83275,1493.362676
1988,174871.7413,193424.8183,176766.2215,79691.86813,13456.07777,7060.202874,18126.9907,1275.967878
1989,176316.0968,190049.6774,178377.0081,80856.34677,11528.42742,7118.120968,17743.94355,1324.403226
1990,156798.4851,183073.2517,167891.4461,77659.02066,10533.1293,7259.150727,18636.17445,1324.934966
1991,166020.3304,202384.4714,163212.8341,68814.50073,6958.054332,6558.120411,19893.23054,1918.091043
1992,156787.8902,177587.0919,144636.3507,66886.58589,8232.373485,6318.182466,20499.80756,1736.486101
1993,142352.8304,176358.173,131158.3737,69323.48789,9060.214533,6104.532872,20650.38754,2957.557093
1994,133739.0486,160676.3023,112949.5816,63560.65452,9104.649123,6063.670715,21731.20108,2197.989204
1995,125913.6417,161847.815,97768.05118,61508.46457,12132.76247,6350.006562,20927.81496,1637.73622
1996,115151.6826,153222.9509,84483.25685,63026.06756,11542.97642,6611.778203,20099.59847,1694.397706
1997,117727.1277,156028.4611,80523.30218,62492.09346,10446.58567,6758.959502,19024.03115,1661.457944
1998,114677.8896,155304.6135,80146.17178,62206.96933,10048.6135,6435.834356,18723.93865,1893.674847
1999,113057.1008,156718.0312,79422.84514,60770.04202,8980.738295,6005.594238,19879.29772,2195.978391
2000,119526.4228,166521.7886,81356.65505,59176.20209,8040.296167,5371.213705,19102.19512,1882.206736
2001,113200.2654,171328.3117,84140.06776,61904.60192,7615.849802,5380.214568,19787.13156,2472.817617
2002,130753.3574,195838.5492,94172.1234,66867.25403,7610.294608,5627.882157,22287.07615,2735.608671
2003,157215.3478,222997.6522,100043.1848,78204.11957,8617.505435,5573.173913,23591.72826,2325.592391
2004,162938.5707,249688.6977,109341.1117,87166.16728,9055.330863,5602.19693,23821.88989,3972.466914
2005,176868.7814,261034.1935,114191.8792,91157.57296,7397.34255,5161.904762,25019.9744,4429.247312
2006,171449.1716,273942.5546,120655.4911,92254.26091,8394.816468,4996.5625,23477.25694,6799.196429
2007,166736.247,283198.2682,130266.9416,95609.53208,10326.23734,4540.197781,22278.73613,7409.686445
2008,174884.9977,308177.2225,147769.8932,94554.20344,14554.44961,4518.764515,21551.6117,5427.552253
2009,186159.9441,327615.627,163254.4429,99846.75991,22253.58508,3437.72028,22167.67366,8495.123543
2010,193452.4989,342928.6933,166008.3127,95663.86978,26303.52591,3942.608895,23991.14168,9286.813388
2011,194734.4064,350694.9667,154241.0538,90218.05691,23999.58648,4135.491329,24593.64162,8531.258337
2012,179721.6289,333198.9852,147199.2683,83089.3554,17177.10366,2751.310976,22716.31533,9153.331882
2013,175423.0687,302010.309,133653.0129,77801.42489,14326.94421,2127.291845,20509.93133,9324.493562
2014,170503.308,279908.5382,123060.5619,74336.66244,11246.44275,1550.207013,19939.73807,9324.140262
2015,166037.2405,282707.8861,115880.5148,73323.22363,9298.616034,1369.864979,21373.55274,9682.818565
2016,167009.3958,274611.075,115915.7333,73252.42917,7539.445833,1472.433333,21891.15417,9727.770833
2017,159991.7217,271092.8764,115130.2203,75326.05875,7375.932273,1334.545084,22646.35659,10331.39127
2018,157383.9785,276997.3994,121598.1641,83076.44763,7237.45918,1246.535245,22576.85783,10283.10633
2019,165617.3524,287956.3121,132160.4576,94622.13531,7855.502542,1235.768479,24129.28041,9803.480641
2020,169025.255,292010.8771,145610.143,104583.1723,9300.703246,1353.952859,25632.95595,10205.43277
2021,172580,286184,141440,105663,9146,1450,25800,10520
2022,167371.8961,269675.0905,126080.2733,99121.9303,9004.940212,1317.502562,26193.58046,10091.90297
